old_path,new_path,topic,channel
20260329_20250407 - 「高盛研报解读」20250406：关税的潘多拉魔盒已经被打开｜中国稳增长要靠财政刺激内需｜黄金还将继续上涨｜大国博弈｜中国经济｜外资研报｜ [QMuA0YL5SNg]_MiroFish.md,20260329_20250407 - 「高盛研报解读」20250406：关税的潘多拉魔盒已经被打开｜中国稳增长要靠财政刺激内需｜黄金还将继续上涨｜大国博弈｜中国经济｜外资研报｜ [QMuA0YL5SNg]_MiroFish_commodities.md,commodities,老厉害
20260329_20250408 - 「荣鼎研报解读」20250407：欧洲如何应对中美关税战后中国产品转向欧洲倾销？｜WTO公信力在弱化｜贸易｜关税｜中国出口｜中国经济｜ [Yeivf33ADRI]_MiroFish.md,20260329_20250408 - 「荣鼎研报解读」20250407：欧洲如何应对中美关税战后中国产品转向欧洲倾销？｜WTO公信力在弱化｜贸易｜关税｜中国出口｜中国经济｜ [Yeivf33ADRI]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250411 - 「德银研报解读」20250407：中国是时候转向内需了｜转口贸易和人民币贬值都不是上策，中国应借此机会改善国内供需不平衡问题｜中国经济｜贸易战｜特朗普｜关税｜ [-ljTdIQ9kmU]_MiroFish.md,20260329_20250411 - 「德银研报解读」20250407：中国是时候转向内需了｜转口贸易和人民币贬值都不是上策，中国应借此机会改善国内供需不平衡问题｜中国经济｜贸易战｜特朗普｜关税｜ [-ljTdIQ9kmU]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250411 - 「高盛研报解读」20250410：大幅下调中国增长预期至4%，上调政策刺激预期｜政策利率预计下降60BP，财政赤字率提升1.9个百分点｜中国经济｜关税｜贸易战｜特朗普｜ [S19Erim_kR4]_MiroFish.md,20260329_20250411 - 「高盛研报解读」20250410：大幅下调中国增长预期至4%，上调政策刺激预期｜政策利率预计下降60BP，财政赤字率提升1.9个百分点｜中国经济｜关税｜贸易战｜特朗普｜ [S19Erim_kR4]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250413 - 「瑞银研报解读」20250410：关税战后中国股票策略首要任务是资本保值，优先推荐防御主题，超配高股息｜中国经济｜贸易战｜特朗普｜A股｜港股｜资本市场｜ [Cp8hkikPaes]_MiroFish.md,20260329_20250413 - 「瑞银研报解读」20250410：关税战后中国股票策略首要任务是资本保值，优先推荐防御主题，超配高股息｜中国经济｜贸易战｜特朗普｜A股｜港股｜资本市场｜ [Cp8hkikPaes]_MiroFish_financial.md,financial,老厉害
20260329_20250413 - 截至目前特朗普的关税战策略，完全来自2014年的这本书《Balanced Trade》，下载链接在描述栏｜接下来是对美债收益征税、管控资本流动、美联储降息｜《平衡贸易》｜分级关税｜贸易战｜ [kcv1ErpCRYo]_MiroFish.md,20260329_20250413 - 截至目前特朗普的关税战策略，完全来自2014年的这本书《Balanced Trade》，下载链接在描述栏｜接下来是对美债收益征税、管控资本流动、美联储降息｜《平衡贸易》｜分级关税｜贸易战｜ [kcv1ErpCRYo]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250414 - 「招银国际研报解读」20250410：贸易战2.0下中国的政策选项｜关税报复、人民币贬值、贸易伙伴多元化、提振内需、科技自立自强｜中国经济｜关税战｜特朗普｜中美博弈｜ [7UWpx3nl8kk]_MiroFish.md,20260329_20250414 - 「招银国际研报解读」20250410：贸易战2.0下中国的政策选项｜关税报复、人民币贬值、贸易伙伴多元化、提振内需、科技自立自强｜中国经济｜关税战｜特朗普｜中美博弈｜ [7UWpx3nl8kk]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250415 - 「德银研报解读」20250410：未来中美关系及世界格局，小国选边形成中美阵营，美国封堵转口贸易，人民币汇率远期走强｜中美博弈｜贸易战｜冷战｜特朗普｜ [PYo-gDmXSxQ]_MiroFish.md,20260329_20250415 - 「德银研报解读」20250410：未来中美关系及世界格局，小国选边形成中美阵营，美国封堵转口贸易，人民币汇率远期走强｜中美博弈｜贸易战｜冷战｜特朗普｜ [PYo-gDmXSxQ]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250416 - 「瑞银研报解读」20250416：大幅下调中国2025年GDP增速至3.4%｜中国经济展望｜准备迎接更多关税战冲击｜ [sFGuJKnIIuY]_MiroFish.md,20260329_20250416 - 「瑞银研报解读」20250416：大幅下调中国2025年GDP增速至3.4%｜中国经济展望｜准备迎接更多关税战冲击｜ [sFGuJKnIIuY]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250418 - 「高盛研报解读」20250416：美国实际关税税率增幅将有多高？｜中国对美出口将下降60%，美国实际关税增幅小于预期｜贸易战｜特朗普｜美国通胀｜美联储｜ [qMcwI3itsmw]_MiroFish.md,20260329_20250418 - 「高盛研报解读」20250416：美国实际关税税率增幅将有多高？｜中国对美出口将下降60%，美国实际关税增幅小于预期｜贸易战｜特朗普｜美国通胀｜美联储｜ [qMcwI3itsmw]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250419 - 「小摩研报解读」20250418：房地产先行指标全面转弱，北上广深房价均将下行，股票交易以投机为主，市场越差机会越好｜房地产｜房价｜中国经济｜外资研报｜ [0IW_IzrUjYw]_MiroFish.md,20260329_20250419 - 「小摩研报解读」20250418：房地产先行指标全面转弱，北上广深房价均将下行，股票交易以投机为主，市场越差机会越好｜房地产｜房价｜中国经济｜外资研报｜ [0IW_IzrUjYw]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250421 - 「大摩研报解读」20250417：4月房地产调研显示市场信心持续减弱，Q2量价均将下滑｜房地产｜房价｜中国经济｜信心｜摩根士丹利｜外资研报｜ [nLVvPqgMT24]_MiroFish.md,20260329_20250421 - 「大摩研报解读」20250417：4月房地产调研显示市场信心持续减弱，Q2量价均将下滑｜房地产｜房价｜中国经济｜信心｜摩根士丹利｜外资研报｜ [nLVvPqgMT24]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250422 - 「高盛研报解读」20250419：3月财政收支基本稳定，预期更多财政刺激政策将出台｜中国经济｜非税收入｜土地财政｜土地出让金｜政府性基金收入｜ [dpdP9uhN9Yg]_MiroFish.md,20260329_20250422 - 「高盛研报解读」20250419：3月财政收支基本稳定，预期更多财政刺激政策将出台｜中国经济｜非税收入｜土地财政｜土地出让金｜政府性基金收入｜ [dpdP9uhN9Yg]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250423 - 「高盛研报解读」20250422：下修房地产预期，核心城市房价触底将推迟1年，本轮贸易战对地产冲击更剧烈｜中国经济｜房地产｜房价｜贸易战｜外资研报｜ [DBWUUm7Q9bw]_MiroFish.md,20260329_20250423 - 「高盛研报解读」20250422：下修房地产预期，核心城市房价触底将推迟1年，本轮贸易战对地产冲击更剧烈｜中国经济｜房地产｜房价｜贸易战｜外资研报｜ [DBWUUm7Q9bw]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250424 - 「野村研报解读」陆挺20250422：中国经济面临双重压力，贸易战先行指标已现负面影响，地产仍在螺旋下行｜中国经济｜贸易战｜EPMI｜房地产｜ [7rQ2MBsMkNk]_MiroFish.md,20260329_20250424 - 「野村研报解读」陆挺20250422：中国经济面临双重压力，贸易战先行指标已现负面影响，地产仍在螺旋下行｜中国经济｜贸易战｜EPMI｜房地产｜ [7rQ2MBsMkNk]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250425 - 「高盛研报解读」20250424：贸易战后的中国经济展望——逆风前行｜中国经济｜宏观经济｜货币政策｜财政政策｜政治局会议｜房地产｜ [gyqypmyIe5Q]_MiroFish.md,20260329_20250425 - 「高盛研报解读」20250424：贸易战后的中国经济展望——逆风前行｜中国经济｜宏观经济｜货币政策｜财政政策｜政治局会议｜房地产｜ [gyqypmyIe5Q]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250427 - 「瑞银研报解读」20250424：中国经济展望，贸易战下GDP增速预期降至3.4%，一季度中国宏观经济数据总结｜中国经济｜外资研报｜ [uuwOP8y7sAM]_MiroFish.md,20260329_20250427 - 「瑞银研报解读」20250424：中国经济展望，贸易战下GDP增速预期降至3.4%，一季度中国宏观经济数据总结｜中国经济｜外资研报｜ [uuwOP8y7sAM]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250428 - 「高盛研报解读」20250427：贸易战影响中国1600万就业，影响堪比次贷危机时期，人行必要时将降息对冲｜中国经济｜贸易战｜特朗普｜返乡｜失业｜降薪｜外资研报｜ [lXNXNLLyjEM]_MiroFish.md,20260329_20250428 - 「高盛研报解读」20250427：贸易战影响中国1600万就业，影响堪比次贷危机时期，人行必要时将降息对冲｜中国经济｜贸易战｜特朗普｜返乡｜失业｜降薪｜外资研报｜ [lXNXNLLyjEM]_MiroFish_social_observation.md,social_observation,老厉害
20260329_20250429 - 「野村研报解读」陆挺20250428：房地产下行先于出口下滑，对美船只货运量已大幅下降，经济转弱后政策有望出台｜中国经济｜外资研报｜房地产｜贸易战｜ [MifvpOrX834]_MiroFish.md,20260329_20250429 - 「野村研报解读」陆挺20250428：房地产下行先于出口下滑，对美船只货运量已大幅下降，经济转弱后政策有望出台｜中国经济｜外资研报｜房地产｜贸易战｜ [MifvpOrX834]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250430 - 「高盛研报解读」20250429：出口导向型城市的房产认购量和访客流量出现更深幅度的回落，先行指标显示二手房价仍将下跌｜外资研报｜房地产｜房价｜中国经济｜贸易战｜ [_meUbbvjvQI]_MiroFish.md,20260329_20250430 - 「高盛研报解读」20250429：出口导向型城市的房产认购量和访客流量出现更深幅度的回落，先行指标显示二手房价仍将下跌｜外资研报｜房地产｜房价｜中国经济｜贸易战｜ [_meUbbvjvQI]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250501 - 「高盛研报解读」20250429：中国当地机构客户如何看待中国经济前景？｜中国经济｜外资研报｜机构调研｜会议纪要｜贸易战｜ [DVEUiDNkrts]_MiroFish.md,20260329_20250501 - 「高盛研报解读」20250429：中国当地机构客户如何看待中国经济前景？｜中国经济｜外资研报｜机构调研｜会议纪要｜贸易战｜ [DVEUiDNkrts]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250504 - 「大摩研报解读」20250428：中国消费五因子模型领先MSCI中国指数，当前五因子模型可能预示着MSCI中国指数同比将转弱｜外资研报｜中国经济｜消费｜股市｜摩根士丹利｜Larua｜首席策略师｜ [3krqt5QeMvk]_MiroFish.md,20260329_20250504 - 「大摩研报解读」20250428：中国消费五因子模型领先MSCI中国指数，当前五因子模型可能预示着MSCI中国指数同比将转弱｜外资研报｜中国经济｜消费｜股市｜摩根士丹利｜Larua｜首席策略师｜ [3krqt5QeMvk]_MiroFish_social_lifestyle.md,social_lifestyle,老厉害
20260329_20250504 - 「瑞银研报解读」20250430：4月百强房企销售同比下降9%，二手房成交挂牌均表现活跃｜外资研报｜中国经济｜房地产｜央国企｜二手房｜ [o9cUkj161fU]_MiroFish.md,20260329_20250504 - 「瑞银研报解读」20250430：4月百强房企销售同比下降9%，二手房成交挂牌均表现活跃｜外资研报｜中国经济｜房地产｜央国企｜二手房｜ [o9cUkj161fU]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250507 - 「高盛研报解读」20250506：五一假期人均消费仍低于疫前水平，通缩压力持续，消费仍在降级｜外资研报｜中国经济｜电影票房｜旅游｜消费｜出行｜劳动节｜ [825rlaxynSY]_MiroFish.md,20260329_20250507 - 「高盛研报解读」20250506：五一假期人均消费仍低于疫前水平，通缩压力持续，消费仍在降级｜外资研报｜中国经济｜电影票房｜旅游｜消费｜出行｜劳动节｜ [825rlaxynSY]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250509 - 「瑞银研报解读」20250506：如何驾驭当前市场的波动性？建议防守策略，拥抱高股息｜外资研报｜中国经济｜股票｜股市｜策略｜投资｜ [SUZKYdXRt4s]_MiroFish.md,20260329_20250509 - 「瑞银研报解读」20250506：如何驾驭当前市场的波动性？建议防守策略，拥抱高股息｜外资研报｜中国经济｜股票｜股市｜策略｜投资｜ [SUZKYdXRt4s]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250509 - 「高盛研报解读」20250508：中国自救正在进行，但贸易战拖累即将来临，预期关税将降至60%，市场没有总量行情｜中国经济｜贸易战｜金融部委｜国新办发布会｜ [c4R05rFPuwE]_MiroFish.md,20260329_20250509 - 「高盛研报解读」20250508：中国自救正在进行，但贸易战拖累即将来临，预期关税将降至60%，市场没有总量行情｜中国经济｜贸易战｜金融部委｜国新办发布会｜ [c4R05rFPuwE]_MiroFish_financial.md,financial,老厉害
20260329_20250510 - 「巴克莱研报解读」20250504：中国房地产形势在恶化。简单聊聊我对“现房销售”的看法｜房地产｜房价｜中国经济｜政策｜外资研报 [xWrPPSuc9Ng]_MiroFish.md,20260329_20250510 - 「巴克莱研报解读」20250504：中国房地产形势在恶化。简单聊聊我对“现房销售”的看法｜房地产｜房价｜中国经济｜政策｜外资研报 [xWrPPSuc9Ng]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250512 - 「大摩研报解读」邢自强20250509：中国表象之下的增长压力，4月房地产、消费均放缓｜中国经济｜摩根士丹利｜外资研报｜ [csePu9EKfUI]_MiroFish.md,20260329_20250512 - 「大摩研报解读」邢自强20250509：中国表象之下的增长压力，4月房地产、消费均放缓｜中国经济｜摩根士丹利｜外资研报｜ [csePu9EKfUI]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250512 - 「高盛研报解读」20250512：第一时间解读中美联合声明对中国经济的影响，回顾高盛4月下旬研报的判断｜外资研报｜日内瓦经贸会谈｜贸易战｜关税战｜ [U1j2px962F0]_MiroFish.md,20260329_20250512 - 「高盛研报解读」20250512：第一时间解读中美联合声明对中国经济的影响，回顾高盛4月下旬研报的判断｜外资研报｜日内瓦经贸会谈｜贸易战｜关税战｜ [U1j2px962F0]_MiroFish_commodities.md,commodities,老厉害
20260329_20250513 - 「瑞银研报解读」20250513：贸易战缓和改善增长前景，但财政刺激政策也将退坡，综合考量下小幅上调中国2025年GDP增速预期｜中国经济｜外资研报｜宏观经济｜贸易战｜日内瓦｜联合声明｜ [mBzTPfBKNb0]_MiroFish.md,20260329_20250513 - 「瑞银研报解读」20250513：贸易战缓和改善增长前景，但财政刺激政策也将退坡，综合考量下小幅上调中国2025年GDP增速预期｜中国经济｜外资研报｜宏观经济｜贸易战｜日内瓦｜联合声明｜ [mBzTPfBKNb0]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250514 - 「高盛研报解读」20250513：依赖出口的城市房地产表现疲软，5.7新政对房地产市场影响有限｜房地产｜新房｜二手房｜房价｜中国经济｜外资研报｜ [CFVGvDF2BPg]_MiroFish.md,20260329_20250514 - 「高盛研报解读」20250513：依赖出口的城市房地产表现疲软，5.7新政对房地产市场影响有限｜房地产｜新房｜二手房｜房价｜中国经济｜外资研报｜ [CFVGvDF2BPg]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250515 - 「高盛研报解读」20250513：上调中国GDP增速预期，但通缩仍将持续，中国经济结构性问题持续｜外资研报｜中国经济｜贸易战｜日内瓦会谈｜ [PN3RgD0l4hU]_MiroFish.md,20260329_20250515 - 「高盛研报解读」20250513：上调中国GDP增速预期，但通缩仍将持续，中国经济结构性问题持续｜外资研报｜中国经济｜贸易战｜日内瓦会谈｜ [PN3RgD0l4hU]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250516 - 「瑞银研报解读」20250514：提高风险偏好，港股优于A股，建议哑铃型配置策略，超配互联网板块｜外资研报｜资本市场｜投资策略｜港股｜H股｜A股｜高股息｜ [vwqaQOLSo68]_MiroFish.md,20260329_20250516 - 「瑞银研报解读」20250514：提高风险偏好，港股优于A股，建议哑铃型配置策略，超配互联网板块｜外资研报｜资本市场｜投资策略｜港股｜H股｜A股｜高股息｜ [vwqaQOLSo68]_MiroFish_technology.md,technology,老厉害
20260329_20250519 - 「汇丰研报解读」20250516：实地调研上海楼市总结，富二代是购房主力，市场呈现明确的底部信号｜外资研报｜中国经济｜房地产｜房价｜现房销售｜ [uR7RUQS9LGA]_MiroFish.md,20260329_20250519 - 「汇丰研报解读」20250516：实地调研上海楼市总结，富二代是购房主力，市场呈现明确的底部信号｜外资研报｜中国经济｜房地产｜房价｜现房销售｜ [uR7RUQS9LGA]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250520 - 「小摩研报解读」20250520：4月房地产全面恶化，先行指标显示一线房价将继续下跌，6月销售同比降幅将超10%｜外资研报｜摩根大通｜房地产｜房价｜中国经济｜ [SnTBWbjzTeg]_MiroFish.md,20260329_20250520 - 「小摩研报解读」20250520：4月房地产全面恶化，先行指标显示一线房价将继续下跌，6月销售同比降幅将超10%｜外资研报｜摩根大通｜房地产｜房价｜中国经济｜ [SnTBWbjzTeg]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250521 - 「大摩研报解读」20250519：关税暂缓对中美的影响，中美缺乏持久贸易协议达成的基础｜全球宏观论坛｜摩根士丹利｜邢自强｜王滢｜外资研报｜中国经济｜贸易战｜特朗普｜ [dw_Dt6nOkZA]_MiroFish.md,20260329_20250521 - 「大摩研报解读」20250519：关税暂缓对中美的影响，中美缺乏持久贸易协议达成的基础｜全球宏观论坛｜摩根士丹利｜邢自强｜王滢｜外资研报｜中国经济｜贸易战｜特朗普｜ [dw_Dt6nOkZA]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250522 - 「花期研报解读」20250520：今年618电商三大变化，开始更早、折扣更直接、行业反内卷｜外资研报｜消费｜内需｜中国经济｜互联网｜平台｜ [Nmh5uP2rDGs]_MiroFish.md,20260329_20250522 - 「花期研报解读」20250520：今年618电商三大变化，开始更早、折扣更直接、行业反内卷｜外资研报｜消费｜内需｜中国经济｜互联网｜平台｜ [Nmh5uP2rDGs]_MiroFish_social_lifestyle.md,social_lifestyle,老厉害
20260329_20250523 - 「大摩研报解读」20250520：中国经济年中展望：通缩挥之不去，决策层仍青睐供给侧刺激｜外资研报｜宏观经济｜通缩｜收入｜就业｜摩根士丹利｜邢自强｜王滢｜Robin｜Laura｜观点｜ [VTjcbLvn6as]_MiroFish.md,20260329_20250523 - 「大摩研报解读」20250520：中国经济年中展望：通缩挥之不去，决策层仍青睐供给侧刺激｜外资研报｜宏观经济｜通缩｜收入｜就业｜摩根士丹利｜邢自强｜王滢｜Robin｜Laura｜观点｜ [VTjcbLvn6as]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250526 - 「小摩研报解读」20250525：中国房地产峰会总结。Q2房价加速下跌，体制内专家谈“止跌回稳”缘何已完成，房企、中介、体制内专家观点碰撞汇总｜中国经济｜房地产｜房价｜外资研报｜摩根大通｜ [r_yU3eG8jcg]_MiroFish.md,20260329_20250526 - 「小摩研报解读」20250525：中国房地产峰会总结。Q2房价加速下跌，体制内专家谈“止跌回稳”缘何已完成，房企、中介、体制内专家观点碰撞汇总｜中国经济｜房地产｜房价｜外资研报｜摩根大通｜ [r_yU3eG8jcg]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250528 - 「大摩研报解读」20250525：离岸市场优于在岸市场，建议保持仓位不变，中国股市年中展望：阴霾中透露曙光｜港股｜A股｜股市｜股票｜投资策略｜摩根士丹利｜外资研报｜王滢｜Larua｜ [69p1sRYZw_c]_MiroFish.md,20260329_20250528 - 「大摩研报解读」20250525：离岸市场优于在岸市场，建议保持仓位不变，中国股市年中展望：阴霾中透露曙光｜港股｜A股｜股市｜股票｜投资策略｜摩根士丹利｜外资研报｜王滢｜Larua｜ [69p1sRYZw_c]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250528 - 「巴克莱研报解读」20250525：未来4个季度经济增速将持续下滑，社零、地产转弱，国企设备更新挑大梁｜外资研报｜中国经济｜消费｜投资｜内需｜宏观｜ [wX0_UXtgs5g]_MiroFish.md,20260329_20250528 - 「巴克莱研报解读」20250525：未来4个季度经济增速将持续下滑，社零、地产转弱，国企设备更新挑大梁｜外资研报｜中国经济｜消费｜投资｜内需｜宏观｜ [wX0_UXtgs5g]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250529 - 「瑞银研报解读」20250528：人民币汇率年底跌至7.4，通缩还在加剧，居民和企业资本持续外流｜数据中的中国｜外资研报｜中国经济｜宏观｜贸易｜汇率｜投资｜消费｜出口｜ [n79x-ApVyJo]_MiroFish.md,20260329_20250529 - 「瑞银研报解读」20250528：人民币汇率年底跌至7.4，通缩还在加剧，居民和企业资本持续外流｜数据中的中国｜外资研报｜中国经济｜宏观｜贸易｜汇率｜投资｜消费｜出口｜ [n79x-ApVyJo]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250530 - 「大摩研报解读」20250529：供给侧立国的思维定势和财税体制导致中国通缩仍在加剧，需实施一整套改革计划才能完成再通胀｜外资研报｜摩根士丹利｜邢自强｜中国经济｜财政｜政治体制｜ [n9R1AmFI7DA]_MiroFish.md,20260329_20250530 - 「大摩研报解读」20250529：供给侧立国的思维定势和财税体制导致中国通缩仍在加剧，需实施一整套改革计划才能完成再通胀｜外资研报｜摩根士丹利｜邢自强｜中国经济｜财政｜政治体制｜ [n9R1AmFI7DA]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250531 - 「瑞银研报解读」20250529：房贷利率应降至1%，中国将出现大量房地产基金公司，开发商转向代建｜房地产｜房价｜二手房｜房贷｜现房销售｜中国经济｜外资研报｜ [v9ktMymRrPI]_MiroFish.md,20260329_20250531 - 「瑞银研报解读」20250529：房贷利率应降至1%，中国将出现大量房地产基金公司，开发商转向代建｜房地产｜房价｜二手房｜房贷｜现房销售｜中国经济｜外资研报｜ [v9ktMymRrPI]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250603 - 「欧盟商会中国商业信心调查」：2025欧企在华经营难度历史新高，商业环境政治化加剧，经济增长放缓，未来两年继续裁员降本｜中国经济｜调查报告｜欧盟｜欧洲企业｜消费｜内卷｜监管｜准入｜ [kNYmJkcnLMg]_MiroFish.md,20260329_20250603 - 「欧盟商会中国商业信心调查」：2025欧企在华经营难度历史新高，商业环境政治化加剧，经济增长放缓，未来两年继续裁员降本｜中国经济｜调查报告｜欧盟｜欧洲企业｜消费｜内卷｜监管｜准入｜ [kNYmJkcnLMg]_MiroFish_social_observation.md,social_observation,老厉害
20260329_20250604 - 「瑞银研报解读」20250602：5月二手房挂牌量历史新高，房价仍在快速下跌，百强房企销售走软，现房销售继续推动国进民退｜房地产｜宏观｜中国经济｜房企｜二手房｜房价｜ [VQDtx-WAZeQ]_MiroFish.md,20260329_20250604 - 「瑞银研报解读」20250602：5月二手房挂牌量历史新高，房价仍在快速下跌，百强房企销售走软，现房销售继续推动国进民退｜房地产｜宏观｜中国经济｜房企｜二手房｜房价｜ [VQDtx-WAZeQ]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250605 - 「野村研报解读」20250603：以旧换新补贴面临财政可持续性挑战，出口反弹但中美关系脆弱，端午出行数据平稳增长｜中国经济｜野村证券｜外资研报｜陆挺｜贸易战｜日内瓦联合声明｜ [JYUUPpUG4nE]_MiroFish.md,20260329_20250605 - 「野村研报解读」20250603：以旧换新补贴面临财政可持续性挑战，出口反弹但中美关系脆弱，端午出行数据平稳增长｜中国经济｜野村证券｜外资研报｜陆挺｜贸易战｜日内瓦联合声明｜ [JYUUPpUG4nE]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250606 - 「高盛研报解读」20250604：透过数据窥探中国就业真实情况，中国尚未转向内需主导｜就业｜失业｜经济｜消费｜房地产｜贸易战｜人民币｜汇率｜美元｜关税｜闪辉｜外资研报｜高盛｜ [YF7dU5ChNQ8]_MiroFish.md,20260329_20250606 - 「高盛研报解读」20250604：透过数据窥探中国就业真实情况，中国尚未转向内需主导｜就业｜失业｜经济｜消费｜房地产｜贸易战｜人民币｜汇率｜美元｜关税｜闪辉｜外资研报｜高盛｜ [YF7dU5ChNQ8]_MiroFish_social_observation.md,social_observation,老厉害
20260329_20250607 - 「大摩研报解读」20250607：下半年通缩加剧，经济增速高位回落，以旧换新挤出其他消费需求，出口增长掩盖通缩深化｜外资研报｜摩根士丹利｜邢自强｜宏观经济｜通缩｜房地产｜消费｜内需｜供给｜贸易战｜出口 [KwF3RjM0s9Q]_MiroFish.md,20260329_20250607 - 「大摩研报解读」20250607：下半年通缩加剧，经济增速高位回落，以旧换新挤出其他消费需求，出口增长掩盖通缩深化｜外资研报｜摩根士丹利｜邢自强｜宏观经济｜通缩｜房地产｜消费｜内需｜供给｜贸易战｜出口 [KwF3RjM0s9Q]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250609 - 「大摩研报解读」20250608：通缩至少持续至2027年，A股短期没有机会，人民币汇率最新观点，机构投资者年中展望反馈｜摩根士丹利｜外资研报｜王滢｜Laura｜中国经济｜港股｜A股｜策略｜投资｜ [4Jmc-69nxQA]_MiroFish.md,20260329_20250609 - 「大摩研报解读」20250608：通缩至少持续至2027年，A股短期没有机会，人民币汇率最新观点，机构投资者年中展望反馈｜摩根士丹利｜外资研报｜王滢｜Laura｜中国经济｜港股｜A股｜策略｜投资｜ [4Jmc-69nxQA]_MiroFish_financial.md,financial,老厉害
20260329_20250611 - 「瑞银研报解读」20250609：坚定认为人民币汇率年底贬至7.4，未来出口将进一步放缓｜外资研报｜汇率｜贸易战｜出口｜日内瓦会谈｜伦敦会谈｜稀土｜贸易谈判｜ [8E2lhd29kTg]_MiroFish.md,20260329_20250611 - 「瑞银研报解读」20250609：坚定认为人民币汇率年底贬至7.4，未来出口将进一步放缓｜外资研报｜汇率｜贸易战｜出口｜日内瓦会谈｜伦敦会谈｜稀土｜贸易谈判｜ [8E2lhd29kTg]_MiroFish_financial.md,financial,老厉害
20260329_20250612 - 「小摩研报解读」20250611：民营房企时隔两年重发美元债，利率高达12%，象征意义还是饮鸩止渴？｜外资研报｜房地产｜房企｜中国经济｜摩根大通｜ [AV2VNuCin9M]_MiroFish.md,20260329_20250612 - 「小摩研报解读」20250611：民营房企时隔两年重发美元债，利率高达12%，象征意义还是饮鸩止渴？｜外资研报｜房地产｜房企｜中国经济｜摩根大通｜ [AV2VNuCin9M]_MiroFish_macro_strategy.md,macro_strategy,老厉害
20260329_20250613 - 「瑞银研报解读」20250612：购房意愿历史新低，中国房地产调查：疲软情绪与分歧｜中国经济｜外资研报｜房地产｜房价｜收入｜就业｜预期｜房贷｜ [9ZQ3AP7ntBY]_MiroFish.md,20260329_20250613 - 「瑞银研报解读」20250612：购房意愿历史新低，中国房地产调查：疲软情绪与分歧｜中国经济｜外资研报｜房地产｜房价｜收入｜就业｜预期｜房贷｜ [9ZQ3AP7ntBY]_MiroFish_real_estate.md,real_estate,老厉害
20260329_20250614 - 「大摩研报解读」20250612：贸易谈判进展有限，国补资金耗尽，通缩仍将持续｜外资研报｜摩根士丹利｜邢自强｜宏观｜中国经济｜贸易战｜以旧换新｜福利改革｜通缩｜ [3NRv1vof85o]_MiroFish.md,20260329_20250614 - 「大摩研报解读」20250612：贸易谈判进展有限，国补资金耗尽，通缩仍将持续｜外资研报｜摩根士丹利｜邢自强｜宏观｜中国经济｜贸易战｜以旧换新｜福利改革｜通缩｜ [3NRv1vof85o]_MiroFish_technology.md,technology,老厉害
